model,epochs_trained,extraction_layer,attack,epsilon,susceptibility_rate,train_accuracy,test_accuracy,baseline_model,baseline_train_accuracy,baseline_test_accuracy,baseline_susceptibility_rate,dataset
GeneralSNN,5,1,LInfFMNAttack,0.05,0.2033747779751332,0.87765,0.8792,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.1509881422924901,MNIST
GeneralSNN,5,2,LInfFMNAttack,0.05,0.0555114988104678,0.98735,0.9841,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.1509881422924901,MNIST
GeneralSNN,5,3,LInfFMNAttack,0.05,0.0182394924662965,0.9928333333333332,0.9871,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.1509881422924901,MNIST
GeneralSNN,5,4,LInfFMNAttack,0.05,0.1204918032786885,0.9571166666666666,0.9527,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.1509881422924901,MNIST
GeneralParaLIF,5,0,LInfFMNAttack,0.1,0.4428442844284428,0.8801166666666667,0.8791,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.6943784639746635,MNIST
GeneralParaLIF,5,1,LInfFMNAttack,0.1,0.3800865800865801,0.8815333333333333,0.8803,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.6943784639746635,MNIST
GeneralParaLIF,5,2,LInfFMNAttack,0.1,0.2897914379802415,0.7037333333333333,0.7044,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.6943784639746635,MNIST
GeneralParaLIF,5,3,LInfFMNAttack,0.1,0.0917030567685589,0.8931166666666667,0.8893,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.6943784639746635,MNIST
GeneralParaLIF,5,4,LInfFMNAttack,0.1,0.2785947712418301,0.95605,0.9502,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.6943784639746635,MNIST
GeneralSNN,5,0,LInfFMNAttack,0.1,0.2611060743427017,0.8434,0.8443,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.6943784639746635,MNIST
GeneralSNN,5,1,LInfFMNAttack,0.1,0.2924865831842576,0.87765,0.8792,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.6943784639746635,MNIST
GeneralSNN,5,2,LInfFMNAttack,0.1,0.2410215482841181,0.98735,0.9841,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.6943784639746635,MNIST
GeneralSNN,5,3,LInfFMNAttack,0.1,0.0703557312252964,0.9928333333333332,0.9871,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.6943784639746635,MNIST
GeneralSNN,5,4,LInfFMNAttack,0.1,0.3376941946034342,0.9571166666666666,0.9527,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.6943784639746635,MNIST
GeneralParaLIF,5,0,LinfDeepFoolAttack,0.01,0.0581818181818181,0.8801166666666667,0.8791,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.0103256552819698,MNIST
GeneralParaLIF,5,1,LinfDeepFoolAttack,0.01,0.01875,0.8815333333333333,0.8803,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.0103256552819698,MNIST
GeneralParaLIF,5,2,LinfDeepFoolAttack,0.01,0.0045454545454545,0.7037333333333333,0.7044,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.0103256552819698,MNIST
GeneralParaLIF,5,3,LinfDeepFoolAttack,0.01,0.0053238686779059,0.8931166666666667,0.8893,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.0103256552819698,MNIST
GeneralParaLIF,5,4,LinfDeepFoolAttack,0.01,0.0381110190555095,0.95605,0.9502,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.0103256552819698,MNIST
GeneralSNN,5,0,LinfDeepFoolAttack,0.01,0.0835654596100278,0.8434,0.8443,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.0103256552819698,MNIST
GeneralSNN,5,1,LinfDeepFoolAttack,0.01,0.021505376344086,0.87765,0.8792,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.0103256552819698,MNIST
GeneralSNN,5,2,LinfDeepFoolAttack,0.01,0.0071656050955414,0.98735,0.9841,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.0103256552819698,MNIST
GeneralSNN,5,3,LinfDeepFoolAttack,0.01,0.0047244094488188,0.9928333333333332,0.9871,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.0103256552819698,MNIST
GeneralSNN,5,4,LinfDeepFoolAttack,0.01,0.0414634146341463,0.9571166666666666,0.9527,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.0103256552819698,MNIST
GeneralParaLIF,5,0,LinfDeepFoolAttack,0.05,0.763272410791993,0.8801166666666667,0.8791,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.1048451151707704,MNIST
GeneralParaLIF,5,1,LinfDeepFoolAttack,0.05,0.3459841129744042,0.8815333333333333,0.8803,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.1048451151707704,MNIST
GeneralParaLIF,5,2,LinfDeepFoolAttack,0.05,0.0978627671541057,0.7037333333333333,0.7044,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.1048451151707704,MNIST
GeneralParaLIF,5,3,LinfDeepFoolAttack,0.05,0.023539668700959,0.8931166666666667,0.8893,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.1048451151707704,MNIST
GeneralParaLIF,5,4,LinfDeepFoolAttack,0.05,0.0989370400654129,0.95605,0.9502,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.1048451151707704,MNIST
GeneralSNN,5,0,LinfDeepFoolAttack,0.05,0.6441947565543071,0.8434,0.8443,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.1048451151707704,MNIST
GeneralSNN,5,1,LinfDeepFoolAttack,0.05,0.2960352422907489,0.87765,0.8792,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.1048451151707704,MNIST
GeneralSNN,5,2,LinfDeepFoolAttack,0.05,0.0803500397772474,0.98735,0.9841,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.1048451151707704,MNIST
GeneralSNN,5,3,LinfDeepFoolAttack,0.05,0.0230708035003977,0.9928333333333332,0.9871,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.1048451151707704,MNIST
GeneralSNN,5,4,LinfDeepFoolAttack,0.05,0.1059602649006622,0.9571166666666666,0.9527,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.1048451151707704,MNIST
GeneralParaLIF,5,0,LinfDeepFoolAttack,0.1,0.9595872742906276,0.8801166666666667,0.8791,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.4679334916864608,MNIST
GeneralParaLIF,5,1,LinfDeepFoolAttack,0.1,0.841688654353562,0.8815333333333333,0.8803,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.4679334916864608,MNIST
GeneralParaLIF,5,2,LinfDeepFoolAttack,0.1,0.5738068812430632,0.7037333333333333,0.7044,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.4679334916864608,MNIST
GeneralParaLIF,5,3,LinfDeepFoolAttack,0.1,0.1270670147954743,0.8931166666666667,0.8893,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.4679334916864608,MNIST
GeneralParaLIF,5,4,LinfDeepFoolAttack,0.1,0.2954545454545454,0.95605,0.9502,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.4679334916864608,MNIST
GeneralSNN,5,0,LinfDeepFoolAttack,0.1,0.8195211786372008,0.8434,0.8443,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.4679334916864608,MNIST
GeneralSNN,5,1,LinfDeepFoolAttack,0.1,0.8013937282229965,0.87765,0.8792,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.4679334916864608,MNIST
GeneralSNN,5,2,LinfDeepFoolAttack,0.1,0.5358851674641149,0.98735,0.9841,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.4679334916864608,MNIST
GeneralSNN,5,3,LinfDeepFoolAttack,0.1,0.0995260663507109,0.9928333333333332,0.9871,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.4679334916864608,MNIST
GeneralSNN,5,4,LinfDeepFoolAttack,0.1,0.2610837438423645,0.9571166666666666,0.9527,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.4679334916864608,MNIST
GeneralParaLIF,5,0,LinfFastGradientAttack,0.01,0.0537444933920704,0.8801166666666667,0.8791,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.0158478605388272,MNIST
GeneralParaLIF,5,1,LinfFastGradientAttack,0.01,0.0326855123674911,0.8815333333333333,0.8803,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.0158478605388272,MNIST
GeneralParaLIF,5,2,LinfFastGradientAttack,0.01,0.0100558659217877,0.7037333333333333,0.7044,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.0158478605388272,MNIST
GeneralParaLIF,5,3,LinfFastGradientAttack,0.01,0.0043744531933508,0.8931166666666667,0.8893,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.0158478605388272,MNIST
GeneralParaLIF,5,4,LinfFastGradientAttack,0.01,0.0384615384615384,0.95605,0.9502,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.0158478605388272,MNIST
GeneralSNN,5,0,LinfFastGradientAttack,0.01,0.0849056603773584,0.8434,0.8443,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.0158478605388272,MNIST
GeneralSNN,5,1,LinfFastGradientAttack,0.01,0.0361233480176211,0.87765,0.8792,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.0158478605388272,MNIST
GeneralSNN,5,2,LinfFastGradientAttack,0.01,0.0111287758346581,0.98735,0.9841,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.0158478605388272,MNIST
GeneralSNN,5,3,LinfFastGradientAttack,0.01,0.0094711917916337,0.9928333333333332,0.9871,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.0158478605388272,MNIST
GeneralSNN,5,4,LinfFastGradientAttack,0.01,0.048559670781893,0.9571166666666666,0.9527,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.0158478605388272,MNIST
GeneralParaLIF,5,0,LinfFastGradientAttack,0.05,0.7159190853122251,0.8801166666666667,0.8791,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.0839936608557844,MNIST
GeneralParaLIF,5,1,LinfFastGradientAttack,0.05,0.32408236347359,0.8815333333333333,0.8803,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.0839936608557844,MNIST
GeneralParaLIF,5,2,LinfFastGradientAttack,0.05,0.0744444444444444,0.7037333333333333,0.7044,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.0839936608557844,MNIST
GeneralParaLIF,5,3,LinfFastGradientAttack,0.05,0.0342105263157894,0.8931166666666667,0.8893,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.0839936608557844,MNIST
GeneralParaLIF,5,4,LinfFastGradientAttack,0.05,0.1105610561056105,0.95605,0.9502,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.0839936608557844,MNIST
GeneralSNN,5,0,LinfFastGradientAttack,0.05,0.7949438202247191,0.8434,0.8443,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.0839936608557844,MNIST
GeneralSNN,5,1,LinfFastGradientAttack,0.05,0.4171779141104294,0.87765,0.8792,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.0839936608557844,MNIST
GeneralSNN,5,2,LinfFastGradientAttack,0.05,0.1477635782747604,0.98735,0.9841,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.0839936608557844,MNIST
GeneralSNN,5,3,LinfFastGradientAttack,0.05,0.0340189873417721,0.9928333333333332,0.9871,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.0839936608557844,MNIST
GeneralSNN,5,4,LinfFastGradientAttack,0.05,0.1360655737704918,0.9571166666666666,0.9527,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.0839936608557844,MNIST
GeneralParaLIF,5,0,LinfFastGradientAttack,0.1,0.9763986013986014,0.8801166666666667,0.8791,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.3087885985748218,MNIST
GeneralParaLIF,5,1,LinfFastGradientAttack,0.1,0.8102383053839365,0.8815333333333333,0.8803,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.3087885985748218,MNIST
GeneralParaLIF,5,2,LinfFastGradientAttack,0.1,0.4972436604189636,0.7037333333333333,0.7044,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.3087885985748218,MNIST
GeneralParaLIF,5,3,LinfFastGradientAttack,0.1,0.1246707638279192,0.8931166666666667,0.8893,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.3087885985748218,MNIST
GeneralParaLIF,5,4,LinfFastGradientAttack,0.1,0.2861815208503679,0.95605,0.9502,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.3087885985748218,MNIST
GeneralSNN,5,0,LinfFastGradientAttack,0.1,0.9833333333333332,0.8434,0.8443,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.3087885985748218,MNIST
GeneralSNN,5,1,LinfFastGradientAttack,0.1,0.9392605633802816,0.87765,0.8792,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.3087885985748218,MNIST
GeneralSNN,5,2,LinfFastGradientAttack,0.1,0.6629482071713148,0.98735,0.9841,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.3087885985748218,MNIST
GeneralSNN,5,3,LinfFastGradientAttack,0.1,0.173396674584323,0.9928333333333332,0.9871,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.3087885985748218,MNIST
GeneralSNN,5,4,LinfFastGradientAttack,0.1,0.4,0.9571166666666666,0.9527,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.3087885985748218,MNIST
GeneralParaLIF,20,0,LInfFMNAttack,0.01,0.1856710393541877,0.7783333333333333,0.7646,LeNet5_Representations_Flexible,0.96445,0.9015,0.3043852106620808,FASHION
GeneralParaLIF,20,1,LInfFMNAttack,0.01,0.0908071748878923,0.70115,0.6918,LeNet5_Representations_Flexible,0.96445,0.9015,0.3043852106620808,FASHION
GeneralParaLIF,20,2,LInfFMNAttack,0.01,0.0999107939339875,0.9256166666666666,0.8877,LeNet5_Representations_Flexible,0.96445,0.9015,0.3043852106620808,FASHION
GeneralParaLIF,20,3,LInfFMNAttack,0.01,0.0588235294117647,0.9481166666666668,0.8937,LeNet5_Representations_Flexible,0.96445,0.9015,0.3043852106620808,FASHION
GeneralParaLIF,20,4,LInfFMNAttack,0.01,0.2812105926860025,0.6538833333333334,0.6319,LeNet5_Representations_Flexible,0.96445,0.9015,0.3043852106620808,FASHION
GeneralSNN,20,0,LInfFMNAttack,0.01,0.1424554826616682,0.8654,0.8545,LeNet5_Representations_Flexible,0.96445,0.9015,0.3043852106620808,FASHION
GeneralSNN,20,1,LInfFMNAttack,0.01,0.065279091769158,0.83575,0.8273,LeNet5_Representations_Flexible,0.96445,0.9015,0.3043852106620808,FASHION
GeneralSNN,20,2,LInfFMNAttack,0.01,0.0473588342440801,0.8651666666666666,0.8414,LeNet5_Representations_Flexible,0.96445,0.9015,0.3043852106620808,FASHION
GeneralSNN,20,3,LInfFMNAttack,0.01,0.0585664335664335,0.9501166666666668,0.8944,LeNet5_Representations_Flexible,0.96445,0.9015,0.3043852106620808,FASHION
GeneralSNN,20,4,LInfFMNAttack,0.01,0.1896551724137931,0.53275,0.5218,LeNet5_Representations_Flexible,0.96445,0.9015,0.3043852106620808,FASHION
GeneralParaLIF,20,0,LInfFMNAttack,0.05,0.5682507583417593,0.7783333333333333,0.7646,LeNet5_Representations_Flexible,0.96445,0.9015,0.9801210025929128,FASHION
GeneralParaLIF,20,1,LInfFMNAttack,0.05,0.4636871508379888,0.70115,0.6918,LeNet5_Representations_Flexible,0.96445,0.9015,0.9801210025929128,FASHION
GeneralParaLIF,20,2,LInfFMNAttack,0.05,0.489399293286219,0.9256166666666666,0.8877,LeNet5_Representations_Flexible,0.96445,0.9015,0.9801210025929128,FASHION
GeneralParaLIF,20,3,LInfFMNAttack,0.05,0.3027360988526037,0.9481166666666668,0.8937,LeNet5_Representations_Flexible,0.96445,0.9015,0.9801210025929128,FASHION
GeneralParaLIF,20,4,LInfFMNAttack,0.05,0.3988023952095808,0.6538833333333334,0.6319,LeNet5_Representations_Flexible,0.96445,0.9015,0.9801210025929128,FASHION
GeneralSNN,20,0,LInfFMNAttack,0.05,0.451701931922723,0.8654,0.8545,LeNet5_Representations_Flexible,0.96445,0.9015,0.9801210025929128,FASHION
GeneralSNN,20,1,LInfFMNAttack,0.05,0.4443378119001919,0.83575,0.8273,LeNet5_Representations_Flexible,0.96445,0.9015,0.9801210025929128,FASHION
GeneralSNN,20,2,LInfFMNAttack,0.05,0.3620205799812909,0.8651666666666666,0.8414,LeNet5_Representations_Flexible,0.96445,0.9015,0.9801210025929128,FASHION
GeneralSNN,20,3,LInfFMNAttack,0.05,0.2577854671280277,0.9501166666666668,0.8944,LeNet5_Representations_Flexible,0.96445,0.9015,0.9801210025929128,FASHION
GeneralSNN,20,4,LInfFMNAttack,0.05,0.3559822747415066,0.53275,0.5218,LeNet5_Representations_Flexible,0.96445,0.9015,0.9801210025929128,FASHION
GeneralParaLIF,20,0,LInfFMNAttack,0.1,0.525987525987526,0.7783333333333333,0.7646,LeNet5_Representations_Flexible,0.96445,0.9015,1.0,FASHION
GeneralParaLIF,20,1,LInfFMNAttack,0.1,0.5280898876404494,0.70115,0.6918,LeNet5_Representations_Flexible,0.96445,0.9015,1.0,FASHION
GeneralParaLIF,20,2,LInfFMNAttack,0.1,0.5061837455830389,0.9256166666666666,0.8877,LeNet5_Representations_Flexible,0.96445,0.9015,1.0,FASHION
GeneralParaLIF,20,3,LInfFMNAttack,0.1,0.4186455584872471,0.9481166666666668,0.8937,LeNet5_Representations_Flexible,0.96445,0.9015,1.0,FASHION
GeneralParaLIF,20,4,LInfFMNAttack,0.1,0.5468940316686967,0.6538833333333334,0.6319,LeNet5_Representations_Flexible,0.96445,0.9015,1.0,FASHION
GeneralSNN,20,0,LInfFMNAttack,0.1,0.4623853211009174,0.8654,0.8545,LeNet5_Representations_Flexible,0.96445,0.9015,1.0,FASHION
GeneralSNN,20,1,LInfFMNAttack,0.1,0.4433872502378687,0.83575,0.8273,LeNet5_Representations_Flexible,0.96445,0.9015,1.0,FASHION
GeneralSNN,20,2,LInfFMNAttack,0.1,0.4346642468239564,0.8651666666666666,0.8414,LeNet5_Representations_Flexible,0.96445,0.9015,1.0,FASHION
GeneralSNN,20,3,LInfFMNAttack,0.1,0.4069565217391304,0.9501166666666668,0.8944,LeNet5_Representations_Flexible,0.96445,0.9015,1.0,FASHION
GeneralSNN,20,4,LInfFMNAttack,0.1,0.5434782608695652,0.53275,0.5218,LeNet5_Representations_Flexible,0.96445,0.9015,1.0,FASHION
GeneralParaLIF,20,0,LinfDeepFoolAttack,0.01,0.1775700934579439,0.7783333333333333,0.7646,LeNet5_Representations_Flexible,0.96445,0.9015,0.2299741602067183,FASHION
GeneralParaLIF,20,1,LinfDeepFoolAttack,0.01,0.0853658536585365,0.70115,0.6918,LeNet5_Representations_Flexible,0.96445,0.9015,0.2299741602067183,FASHION
GeneralParaLIF,20,2,LinfDeepFoolAttack,0.01,0.0869565217391304,0.9256166666666666,0.8877,LeNet5_Representations_Flexible,0.96445,0.9015,0.2299741602067183,FASHION
GeneralParaLIF,20,3,LinfDeepFoolAttack,0.01,0.0508771929824561,0.9481166666666668,0.8937,LeNet5_Representations_Flexible,0.96445,0.9015,0.2299741602067183,FASHION
GeneralParaLIF,20,4,LinfDeepFoolAttack,0.01,0.2661691542288557,0.6538833333333334,0.6319,LeNet5_Representations_Flexible,0.96445,0.9015,0.2299741602067183,FASHION
GeneralSNN,20,0,LinfDeepFoolAttack,0.01,0.1703703703703703,0.8654,0.8545,LeNet5_Representations_Flexible,0.96445,0.9015,0.2299741602067183,FASHION
GeneralSNN,20,1,LinfDeepFoolAttack,0.01,0.0824544582933844,0.83575,0.8273,LeNet5_Representations_Flexible,0.96445,0.9015,0.2299741602067183,FASHION
GeneralSNN,20,2,LinfDeepFoolAttack,0.01,0.0441582336706531,0.8651666666666666,0.8414,LeNet5_Representations_Flexible,0.96445,0.9015,0.2299741602067183,FASHION
GeneralSNN,20,3,LinfDeepFoolAttack,0.01,0.0508326029798422,0.9501166666666668,0.8944,LeNet5_Representations_Flexible,0.96445,0.9015,0.2299741602067183,FASHION
GeneralSNN,20,4,LinfDeepFoolAttack,0.01,0.2188405797101449,0.53275,0.5218,LeNet5_Representations_Flexible,0.96445,0.9015,0.2299741602067183,FASHION
GeneralParaLIF,20,0,LinfDeepFoolAttack,0.05,0.756294058408862,0.7783333333333333,0.7646,LeNet5_Representations_Flexible,0.96445,0.9015,0.8844483058210252,FASHION
GeneralParaLIF,20,1,LinfDeepFoolAttack,0.05,0.6472527472527473,0.70115,0.6918,LeNet5_Representations_Flexible,0.96445,0.9015,0.8844483058210252,FASHION
GeneralParaLIF,20,2,LinfDeepFoolAttack,0.05,0.5048802129547472,0.9256166666666666,0.8877,LeNet5_Representations_Flexible,0.96445,0.9015,0.8844483058210252,FASHION
GeneralParaLIF,20,3,LinfDeepFoolAttack,0.05,0.3786152497808939,0.9481166666666668,0.8937,LeNet5_Representations_Flexible,0.96445,0.9015,0.8844483058210252,FASHION
GeneralParaLIF,20,4,LinfDeepFoolAttack,0.05,0.3443627450980392,0.6538833333333334,0.6319,LeNet5_Representations_Flexible,0.96445,0.9015,0.8844483058210252,FASHION
GeneralSNN,20,0,LinfDeepFoolAttack,0.05,0.80550621669627,0.8654,0.8545,LeNet5_Representations_Flexible,0.96445,0.9015,0.8844483058210252,FASHION
GeneralSNN,20,1,LinfDeepFoolAttack,0.05,0.6722846441947565,0.83575,0.8273,LeNet5_Representations_Flexible,0.96445,0.9015,0.8844483058210252,FASHION
GeneralSNN,20,2,LinfDeepFoolAttack,0.05,0.4689213893967093,0.8651666666666666,0.8414,LeNet5_Representations_Flexible,0.96445,0.9015,0.8844483058210252,FASHION
GeneralSNN,20,3,LinfDeepFoolAttack,0.05,0.2964254577157802,0.9501166666666668,0.8944,LeNet5_Representations_Flexible,0.96445,0.9015,0.8844483058210252,FASHION
GeneralSNN,20,4,LinfDeepFoolAttack,0.05,0.3205128205128205,0.53275,0.5218,LeNet5_Representations_Flexible,0.96445,0.9015,0.8844483058210252,FASHION
GeneralParaLIF,20,0,LinfDeepFoolAttack,0.1,0.8982528263103803,0.7783333333333333,0.7646,LeNet5_Representations_Flexible,0.96445,0.9015,1.0,FASHION
GeneralParaLIF,20,1,LinfDeepFoolAttack,0.1,0.8950819672131147,0.70115,0.6918,LeNet5_Representations_Flexible,0.96445,0.9015,1.0,FASHION
GeneralParaLIF,20,2,LinfDeepFoolAttack,0.1,0.8421052631578947,0.9256166666666666,0.8877,LeNet5_Representations_Flexible,0.96445,0.9015,1.0,FASHION
GeneralParaLIF,20,3,LinfDeepFoolAttack,0.1,0.6402439024390244,0.9481166666666668,0.8937,LeNet5_Representations_Flexible,0.96445,0.9015,1.0,FASHION
GeneralParaLIF,20,4,LinfDeepFoolAttack,0.1,0.5721271393643031,0.6538833333333334,0.6319,LeNet5_Representations_Flexible,0.96445,0.9015,1.0,FASHION
GeneralSNN,20,0,LinfDeepFoolAttack,0.1,0.8752327746741154,0.8654,0.8545,LeNet5_Representations_Flexible,0.96445,0.9015,1.0,FASHION
GeneralSNN,20,1,LinfDeepFoolAttack,0.1,0.8563162970106075,0.83575,0.8273,LeNet5_Representations_Flexible,0.96445,0.9015,1.0,FASHION
GeneralSNN,20,2,LinfDeepFoolAttack,0.1,0.7803308823529411,0.8651666666666666,0.8414,LeNet5_Representations_Flexible,0.96445,0.9015,1.0,FASHION
GeneralSNN,20,3,LinfDeepFoolAttack,0.1,0.6412478336221837,0.9501166666666668,0.8944,LeNet5_Representations_Flexible,0.96445,0.9015,1.0,FASHION
GeneralSNN,20,4,LinfDeepFoolAttack,0.1,0.3974540311173974,0.53275,0.5218,LeNet5_Representations_Flexible,0.96445,0.9015,1.0,FASHION
GeneralParaLIF,20,0,LinfFastGradientAttack,0.01,0.2176470588235294,0.7783333333333333,0.7646,LeNet5_Representations_Flexible,0.96445,0.9015,0.1827497865072587,FASHION
GeneralParaLIF,20,1,LinfFastGradientAttack,0.01,0.1137387387387387,0.70115,0.6918,LeNet5_Representations_Flexible,0.96445,0.9015,0.1827497865072587,FASHION
